api,label,path
bak_basic,股票历史列表,股票数据/基础数据/股票历史列表
daily,历史日线,股票数据/行情数据/历史日线
stk_mins,历史分钟,股票数据/行情数据/历史分钟
weekly,周线行情,股票数据/行情数据/周线行情
monthly,月线行情,股票数据/行情数据/月线行情
stk_weekly_monthly,周/月线行情(每日更新),股票数据/行情数据/周/月线行情(每日更新)
stk_week_month_adj,周/月线复权行情(每日更新),股票数据/行情数据/周/月线复权行情(每日更新)
daily_basic,每日指标,股票数据/行情数据/每日指标
stk_limit,每日涨跌停价格,股票数据/行情数据/每日涨跌停价格
ggt_daily,港股通每日成交统计,股票数据/行情数据/港股通每日成交统计
ggt_monthly,港股通每月成交统计,股票数据/行情数据/港股通每月成交统计
bak_daily,备用行情,股票数据/行情数据/备用行情
income,利润表,股票数据/财务数据/利润表
balancesheet,资产负债表,股票数据/财务数据/资产负债表
cashflow,现金流量表,股票数据/财务数据/现金流量表
forecast,业绩预告,股票数据/财务数据/业绩预告
express,业绩快报,股票数据/财务数据/业绩快报
dividend,分红送股数据,股票数据/财务数据/分红送股数据
fina_indicator,财务指标数据,股票数据/财务数据/财务指标数据
fina_audit,财务审计意见,股票数据/财务数据/财务审计意见
fina_mainbz,主营业务构成,股票数据/财务数据/主营业务构成
disclosure_date,财报披露日期表,股票数据/财务数据/财报披露日期表
pledge_stat,股权质押统计数据,股票数据/参考数据/股权质押统计数据
pledge_detail,股权质押明细数据,股票数据/参考数据/股权质押明细数据
repurchase,股票回购,股票数据/参考数据/股票回购
share_float,限售股解禁,股票数据/参考数据/限售股解禁
block_trade,大宗交易,股票数据/参考数据/大宗交易
stk_account,股票开户数据（停）,股票数据/参考数据/股票开户数据（停）
stk_account_old,股票开户数据（旧）,股票数据/参考数据/股票开户数据（旧）
stk_holdernumber,股东人数,股票数据/参考数据/股东人数
stk_holdertrade,股东增减持,股票数据/参考数据/股东增减持
report_rc,券商盈利预测数据,股票数据/特色数据/券商盈利预测数据
cyq_perf,每日筹码及胜率,股票数据/特色数据/每日筹码及胜率
cyq_chips,每日筹码分布,股票数据/特色数据/每日筹码分布
